date,symbol,open,high,low,close,volume,adjclose,dividends,weekday
2022-11-22,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,1
2022-11-23,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,2
2022-11-24,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,3
2022-11-25,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,4
2022-11-28,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,0
2022-11-29,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,1
2022-11-30,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,2
2022-12-01,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,3
2022-12-02,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,4
2022-12-05,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,0
2022-12-06,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,1
2022-12-07,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,2
2022-12-08,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,3
2022-12-09,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,4
2022-12-12,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,0
2022-12-13,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,1
2022-12-14,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,2
2022-12-15,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,3
2022-12-16,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,4
2022-12-19,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,0
2022-12-20,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,1
2022-12-21,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,2
2022-12-22,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,3
2022-12-23,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,4
2022-12-26,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,0
2022-12-27,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,1
2022-12-28,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,2
2022-12-29,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,3
2023-01-02,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,0
2023-01-03,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,1
2023-01-04,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,2
2023-01-05,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,3
2023-01-06,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,4
2023-01-09,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,0
2023-01-10,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,1
2023-01-11,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,2
2023-01-12,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,3
2023-01-13,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,4
2023-01-16,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,0
2023-01-17,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,1
2023-01-18,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,2
2023-01-19,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,3
2023-01-20,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,4
2023-01-23,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,0
2023-01-24,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,1
2023-01-25,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,2
2023-01-26,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,3
2023-01-27,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,4
2023-01-30,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,0
2023-01-31,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,1
2023-02-01,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,2
2023-02-02,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,3
2023-02-03,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,4
2023-02-06,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,0
2023-02-07,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,1
2023-02-08,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,2
2023-02-09,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,3
2023-02-10,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,4
2023-02-13,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,0
2023-02-14,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,1
2023-02-15,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,2
2023-02-16,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,3
2023-02-17,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,4
2023-02-22,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,2
2023-02-23,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,3
2023-02-24,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,4
2023-02-27,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,0
2023-02-28,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,1
2023-03-01,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,2
2023-03-02,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,3
2023-03-03,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,4
2023-03-06,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,0
2023-03-07,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,1
2023-03-08,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,2
2023-03-09,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,3
2023-03-10,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,4
2023-03-13,PATI4.SA,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0,49.441795349121094,0.0,0
2023-03-14,PATI4.SA,44.90999984741211,44.90999984741211,44.0,44.0,300,41.84341049194336,0.0,1
2023-03-15,PATI4.SA,44.0,44.0,44.0,44.0,0,41.84341049194336,0.0,2
2023-03-16,PATI4.SA,44.0,44.0,44.0,44.0,0,41.84341049194336,0.0,3
2023-03-17,PATI4.SA,44.0,44.0,44.0,44.0,0,41.84341049194336,0.0,4
