symbol,date,open,high,low,close,volume,adjclose,dividends,splits,weekday,yearday
TOTS3.SA,2018-09-11,8.317529678344727,8.38407039642334,8.127889633178711,8.217719078063965,1931462.0,7.900311470031738,0.0,0.0,0.16666666666666666,0.696969696969697
TOTS3.SA,2018-09-12,8.207737922668457,8.23768138885498,8.077984809875488,8.121235847473145,1930260.0,7.807554244995117,0.0,0.0,0.3333333333333333,0.699724517906336
TOTS3.SA,2018-09-13,8.124563217163086,8.187775611877441,7.825131893157959,7.918288230895996,3124124.0,7.612446308135986,0.0,0.0,0.5,0.7024793388429752
TOTS3.SA,2018-09-14,8.124563217163086,8.187775611877441,7.825131893157959,7.918288230895996,3124124.0,7.612446308135986,0.0,0.0,0.5,0.7024793388429752
TOTS3.SA,2018-09-16,7.818478107452393,8.08131217956543,7.771900177001953,8.051368713378906,13719217.0,7.740386486053467,0.0,0.0,1.0,0.7107438016528925
TOTS3.SA,2018-09-17,8.111254692077637,8.330838203430176,8.077984809875488,8.174468040466309,2808225.0,7.858730792999268,0.0,0.0,0.0,0.7134986225895317
TOTS3.SA,2018-09-18,8.304221153259277,8.304221153259277,7.928268909454346,8.147851943969727,2287037.0,7.833142280578613,0.0,0.0,0.16666666666666666,0.7162534435261708
TOTS3.SA,2018-09-19,8.121235847473145,8.330838203430176,8.121235847473145,8.234354019165039,911628.0,7.916304588317871,0.0,0.0,0.3333333333333333,0.71900826446281
TOTS3.SA,2018-09-20,8.260970115661621,8.300893783569336,8.157833099365234,8.211065292358398,1007210.0,7.893915176391602,0.0,0.0,0.5,0.721763085399449
TOTS3.SA,2018-09-21,8.260970115661621,8.300893783569336,8.157833099365234,8.211065292358398,1007210.0,7.893915176391602,0.0,0.0,0.5,0.721763085399449
TOTS3.SA,2018-09-23,8.214391708374023,8.270951271057129,7.8983259201049805,8.048042297363281,1827465.0,7.737189292907715,0.0,0.0,1.0,0.7300275482093664
TOTS3.SA,2018-09-24,7.954885005950928,8.131217002868652,7.9515581130981445,8.101273536682129,1472191.0,7.788364410400391,0.0,0.0,0.0,0.7327823691460055
TOTS3.SA,2018-09-25,8.121235847473145,8.753368377685547,8.087965965270996,8.400705337524414,2360676.0,8.076228141784668,0.0,0.0,0.16666666666666666,0.7355371900826446
TOTS3.SA,2018-09-26,8.390724182128906,8.636922836303711,8.340819358825684,8.37076187133789,1627586.0,8.047442436218262,0.0,0.0,0.3333333333333333,0.7382920110192838
TOTS3.SA,2018-09-27,8.350799560546875,8.427321434020996,8.290912628173828,8.350799560546875,3249762.0,8.028251647949219,0.0,0.0,0.5,0.7410468319559229
TOTS3.SA,2018-09-28,8.350799560546875,8.427321434020996,8.290912628173828,8.350799560546875,3249762.0,8.028251647949219,0.0,0.0,0.5,0.7410468319559229
TOTS3.SA,2018-09-30,8.38407039642334,8.433975219726562,8.300893783569336,8.38407039642334,2465575.0,8.060237884521484,0.0,0.0,1.0,0.7493112947658402
TOTS3.SA,2018-10-01,8.423994064331055,8.593671798706055,8.287586212158203,8.483880043029785,1644117.0,8.156192779541016,0.0,0.0,0.0,0.7520661157024794
TOTS3.SA,2018-10-02,8.606980323791504,8.83987045288086,8.507168769836426,8.603652954101562,1113912.0,8.271339416503906,0.0,0.0,0.16666666666666666,0.7548209366391184
TOTS3.SA,2018-10-03,8.623615264892578,8.65023136138916,8.344145774841309,8.433975219726562,1341443.0,8.108216285705566,0.0,0.0,0.3333333333333333,0.7575757575757576
TOTS3.SA,2018-10-04,8.557073593139648,8.570382118225098,8.327510833740234,8.374089241027832,1524491.0,8.050642967224121,0.0,0.0,0.5,0.7603305785123967
TOTS3.SA,2018-10-05,8.557073593139648,8.570382118225098,8.327510833740234,8.374089241027832,1524491.0,8.050642967224121,0.0,0.0,0.5,0.7603305785123967
TOTS3.SA,2018-10-07,8.683501243591309,8.823234558105469,8.557073593139648,8.610306739807129,617370.0,8.27773666381836,0.0,0.0,1.0,0.768595041322314
TOTS3.SA,2018-10-08,8.610306739807129,8.743387222290039,8.517149925231934,8.533784866333008,1057705.0,8.204169273376465,0.0,0.0,0.0,0.7713498622589532
TOTS3.SA,2018-10-09,8.527131080627441,8.527131080627441,8.241007804870605,8.350799560546875,1135252.0,8.028251647949219,0.0,0.0,0.16666666666666666,0.7741046831955923
TOTS3.SA,2018-10-10,8.354126930236816,8.603652954101562,8.267623901367188,8.350799560546875,1701526.0,8.028251647949219,0.0,0.0,0.3333333333333333,0.7768595041322314
TOTS3.SA,2018-10-11,8.354126930236816,8.603652954101562,8.267623901367188,8.350799560546875,1701526.0,8.028251647949219,0.0,0.0,0.3333333333333333,0.7768595041322314
TOTS3.SA,2018-10-12,8.354126930236816,8.603652954101562,8.267623901367188,8.350799560546875,1701526.0,8.028251647949219,0.0,0.0,0.3333333333333333,0.7768595041322314
TOTS3.SA,2018-10-14,8.314203262329102,8.390724182128906,8.038061141967773,8.134544372558594,1699422.0,7.82034969329834,0.0,0.0,1.0,0.7878787878787878
TOTS3.SA,2018-10-15,8.124563217163086,8.214391708374023,8.058023452758789,8.111254692077637,3947686.0,7.797958850860596,0.0,0.0,0.0,0.790633608815427
TOTS3.SA,2018-10-16,8.137870788574219,8.37076187133789,8.107928276062012,8.234354019165039,642618.0,7.916304588317871,0.0,0.0,0.16666666666666666,0.7933884297520661
TOTS3.SA,2018-10-17,8.277605056762695,8.543766021728516,8.23768138885498,8.390724182128906,934772.0,8.066635131835938,0.0,0.0,0.3333333333333333,0.7961432506887053
TOTS3.SA,2018-10-18,8.37076187133789,8.700136184692383,8.37076187133789,8.65023136138916,1625783.0,8.316118240356445,0.0,0.0,0.5,0.7988980716253443
TOTS3.SA,2018-10-19,8.37076187133789,8.700136184692383,8.37076187133789,8.65023136138916,1625783.0,8.316118240356445,0.0,0.0,0.5,0.7988980716253443
TOTS3.SA,2018-10-21,8.809926986694336,9.801377296447754,8.733406066894531,9.096050262451172,4356161.0,8.744717597961426,0.0,0.0,1.0,0.8071625344352618
TOTS3.SA,2018-10-22,9.062780380249023,9.066106796264648,8.437301635742188,8.483880043029785,3136447.0,8.156192779541016,0.0,0.0,0.0,0.8099173553719008
TOTS3.SA,2018-10-23,8.483880043029785,8.666866302490234,8.360780715942383,8.5238037109375,2204680.0,8.194574356079102,0.0,0.0,0.16666666666666666,0.8126721763085399
TOTS3.SA,2018-10-24,8.626941680908203,8.67019271850586,8.410685539245605,8.59034538269043,2089262.0,8.258544921875,0.0,0.0,0.3333333333333333,0.8154269972451791
