,symbol,date,open,high,low,close,volume,adjclose,weekday,dividends,splits
59,VSPT3.SA,2022-09-14,1.5,1.5,1.5,1.5,0.0,1.5,2,0,0
60,VSPT3.SA,2022-09-15,1.5,1.5,1.5,1.5,0.0,1.5,3,0,0
61,VSPT3.SA,2022-09-16,1.5,1.5,1.5,1.5,0.0,1.5,4,0,0
62,VSPT3.SA,2022-09-19,1.5,1.5,1.5,1.5,0.0,1.5,0,0,0
63,VSPT3.SA,2022-09-20,1.5,1.5,1.5,1.5,0.0,1.5,1,0,0
64,VSPT3.SA,2022-09-21,1.5,1.5,1.5,1.5,0.0,1.5,2,0,0
65,VSPT3.SA,2022-09-22,1.5,1.5,1.5,1.5,0.0,1.5,3,0,0
66,VSPT3.SA,2022-09-23,1.5,1.5,1.5,1.5,0.0,1.5,4,0,0
67,VSPT3.SA,2022-09-26,1.5,1.5,1.5,1.5,0.0,1.5,0,0,0
68,VSPT3.SA,2022-09-27,1.5,1.5,1.5,1.5,0.0,1.5,1,0,0
69,VSPT3.SA,2022-09-28,1.5,1.5,1.5,1.5,0.0,1.5,2,0,0
70,VSPT3.SA,2022-09-29,1.5,1.5,1.5,1.5,0.0,1.5,3,0,0
71,VSPT3.SA,2022-09-30,1.5,1.5,1.5,1.5,0.0,1.5,4,0,0
72,VSPT3.SA,2022-10-03,1.5,1.5,1.5,1.5,0.0,1.5,0,0,0
73,VSPT3.SA,2022-10-04,1.5,1.5,1.5,1.5,0.0,1.5,1,0,0
74,VSPT3.SA,2022-10-05,1.5,1.5,1.5,1.5,0.0,1.5,2,0,0
75,VSPT3.SA,2022-10-06,1.5,1.5,1.5,1.5,0.0,1.5,3,0,0
76,VSPT3.SA,2022-10-07,1.5,1.5,1.5,1.5,0.0,1.5,4,0,0
77,VSPT3.SA,2022-10-10,1.5,1.5,1.5,1.5,0.0,1.5,0,0,0
78,VSPT3.SA,2022-10-11,1.5,1.5,1.5,1.5,0.0,1.5,1,0,0
79,VSPT3.SA,2022-10-13,1.5,1.5,1.5,1.5,0.0,1.5,3,0,0
80,VSPT3.SA,2022-10-14,1.5,1.5,1.5,1.5,0.0,1.5,4,0,0
81,VSPT3.SA,2022-10-17,1.5,1.5,1.5,1.5,0.0,1.5,0,0,0
82,VSPT3.SA,2022-10-18,1.5,1.5,1.5,1.5,0.0,1.5,1,0,0
83,VSPT3.SA,2022-10-19,1.5,1.5,1.5,1.5,0.0,1.5,2,0,0
84,VSPT3.SA,2022-10-20,1.5,1.5,1.5,1.5,0.0,1.5,3,0,0
85,VSPT3.SA,2022-10-21,1.5,1.5,1.5,1.5,0.0,1.5,4,0,0
86,VSPT3.SA,2022-10-24,1.5,1.5,1.5,1.5,0.0,1.5,0,0,0
87,VSPT3.SA,2022-10-25,1.5,1.5,1.5,1.5,0.0,1.5,1,0,0
88,VSPT3.SA,2022-10-26,1.5,1.5,1.5,1.5,0.0,1.5,2,0,0
89,VSPT3.SA,2022-10-27,1.5,1.5,1.5,1.5,0.0,1.5,3,0,0
90,VSPT3.SA,2022-10-28,1.5,1.5,1.5,1.5,0.0,1.5,4,0,0
91,VSPT3.SA,2022-10-31,1.5,1.5,1.5,1.5,0.0,1.5,0,0,0
92,VSPT3.SA,2022-11-01,1.5,1.5,1.5,1.5,0.0,1.5,1,0,0
93,VSPT3.SA,2022-11-03,1.5,1.5,1.5,1.5,0.0,1.5,3,0,0
94,VSPT3.SA,2022-11-04,1.5,1.5,1.5,1.5,0.0,1.5,4,0,0
95,VSPT3.SA,2022-11-07,1.5,1.5,1.5,1.5,0.0,1.5,0,0,0
96,VSPT3.SA,2022-11-08,1.5,1.5,1.5,1.5,0.0,1.5,1,0,0
97,VSPT3.SA,2022-11-09,1.5,1.5,1.5,1.5,0.0,1.5,2,0,0
98,VSPT3.SA,2022-11-10,1.5,1.5,1.5,1.5,0.0,1.5,3,0,0
99,VSPT3.SA,2022-11-11,1.5,1.5,1.5,1.5,0.0,1.5,4,0,0
100,VSPT3.SA,2022-11-14,1.5,1.5,1.5,1.5,0.0,1.5,0,0,0
101,VSPT3.SA,2022-11-16,1.5,1.5,1.5,1.5,0.0,1.5,2,0,0
102,VSPT3.SA,2022-11-17,1.5,1.5,1.5,1.5,0.0,1.5,3,0,0
103,VSPT3.SA,2022-11-18,1.5,1.5,1.5,1.5,0.0,1.5,4,0,0
104,VSPT3.SA,2022-11-21,1.5,1.5,1.5,1.5,0.0,1.5,0,0,0
105,VSPT3.SA,2022-11-22,1.5,1.5,1.5,1.5,0.0,1.5,1,0,0
106,VSPT3.SA,2022-11-23,1.5,1.5,1.5,1.5,0.0,1.5,2,0,0
107,VSPT3.SA,2022-11-25,1.5,1.5,1.5,1.5,0.0,1.5,4,0,0
108,VSPT3.SA,2022-11-28,1.5,1.5,1.5,1.5,0.0,1.5,0,0,0
109,VSPT3.SA,2022-11-29,1.5,1.5,1.5,1.5,0.0,1.5,1,0,0
110,VSPT3.SA,2022-11-30,1.5,1.5,1.5,1.5,0.0,1.5,2,0,0
111,VSPT3.SA,2022-12-01,1.5,1.5,1.5,1.5,0.0,1.5,3,0,0
112,VSPT3.SA,2022-12-02,1.5,1.5,1.5,1.5,0.0,1.5,4,0,0
113,VSPT3.SA,2022-12-05,1.5,1.5,1.5,1.5,0.0,1.5,0,0,0
114,VSPT3.SA,2022-12-06,1.5,1.5,1.5,1.5,0.0,1.5,1,0,0
115,VSPT3.SA,2022-12-07,1.5,1.5,1.5,1.5,0.0,1.5,2,0,0
116,VSPT3.SA,2022-12-08,1.5,1.5,1.5,1.5,0.0,1.5,3,0,0
117,VSPT3.SA,2022-12-09,1.5,1.5,1.5,1.5,0.0,1.5,4,0,0
118,VSPT3.SA,2022-12-12,1.5,1.5,1.5,1.5,0.0,1.5,0,0,0
119,VSPT3.SA,2022-12-13,1.5,1.5,1.5,1.5,0.0,1.5,1,0,0
120,VSPT3.SA,2022-12-14,1.5,1.5,1.5,1.5,0.0,1.5,2,0,0
121,VSPT3.SA,2022-12-15,1.5,1.5,1.5,1.5,0.0,1.5,3,0,0
122,VSPT3.SA,2022-12-16,1.5,1.5,1.5,1.5,0.0,1.5,4,0,0
123,VSPT3.SA,2022-12-19,1.5,1.5,1.5,1.5,0.0,1.5,0,0,0
124,VSPT3.SA,2022-12-20,1.5,1.5,1.5,1.5,0.0,1.5,1,0,0
125,VSPT3.SA,2022-12-21,1.5,1.5,1.5,1.5,0.0,1.5,2,0,0
126,VSPT3.SA,2022-12-22,1.5,1.5,1.5,1.5,0.0,1.5,3,0,0
127,VSPT3.SA,2022-12-23,1.5,1.5,1.5,1.5,0.0,1.5,4,0,0
128,VSPT3.SA,2022-12-27,1.5,1.5,1.5,1.5,0.0,1.5,1,0,0
129,VSPT3.SA,2022-12-28,1.5,1.5,1.5,1.5,0.0,1.5,2,0,0
130,VSPT3.SA,2022-12-29,1.5,1.5,1.5,1.5,0.0,1.5,3,0,0
131,VSPT3.SA,2022-12-30,1.5,1.5,1.5,1.5,0.0,1.5,4,0,0
132,VSPT3.SA,2023-01-03,1.5,1.5,1.5,1.5,0.0,1.5,1,0,0
133,VSPT3.SA,2023-01-04,1.5,1.5,1.5,1.5,0.0,1.5,2,0,0
134,VSPT3.SA,2023-01-05,1.5,1.5,1.5,1.5,0.0,1.5,3,0,0
135,VSPT3.SA,2023-01-06,1.5,1.5,1.5,1.5,0.0,1.5,4,0,0
136,VSPT3.SA,2023-01-09,1.5,1.5,1.5,1.5,0.0,1.5,0,0,0
137,VSPT3.SA,2023-01-10,1.5,1.5,1.5,1.5,0.0,1.5,1,0,0
138,VSPT3.SA,2023-01-11,1.5,1.5,1.5,1.5,0.0,1.5,2,0,0
139,VSPT3.SA,2023-01-12,1.5,1.5,1.5,1.5,0.0,1.5,3,0,0
140,VSPT3.SA,2023-01-13,1.5,1.5,1.5,1.5,0.0,1.5,4,0,0
141,VSPT3.SA,2023-01-17,1.5,1.5,1.5,1.5,0.0,1.5,1,0,0
142,VSPT3.SA,2023-01-18,1.5,1.5,1.5,1.5,0.0,1.5,2,0,0
143,VSPT3.SA,2023-01-19,1.5,1.5,1.5,1.5,0.0,1.5,3,0,0
144,VSPT3.SA,2023-01-20,1.5,1.5,1.5,1.5,0.0,1.5,4,0,0
145,VSPT3.SA,2023-01-23,1.5,1.5,1.5,1.5,0.0,1.5,0,0,0
146,VSPT3.SA,2023-01-24,1.5,1.5,1.5,1.5,0.0,1.5,1,0,0
147,VSPT3.SA,2023-01-25,1.5,1.5,1.5,1.5,0.0,1.5,2,0,0
148,VSPT3.SA,2023-01-26,1.5,1.5,1.5,1.5,0.0,1.5,3,0,0
149,VSPT3.SA,2023-01-27,1.5,1.5,1.5,1.5,0.0,1.5,4,0,0
150,VSPT3.SA,2023-01-30,1.5,1.5,1.5,1.5,0.0,1.5,0,0,0
151,VSPT3.SA,2023-01-31,1.5,1.5,1.5,1.5,0.0,1.5,1,0,0
