date,symbol,open,high,low,close,volume,adjclose,weekday
2022-11-14,FRIO3.SA,37.849998474121094,37.849998474121094,37.849998474121094,37.849998474121094,0.0,37.849998474121094,0
2022-11-16,FRIO3.SA,31.0,31.0,31.0,31.0,100.0,31.0,2
2022-11-17,FRIO3.SA,31.0,31.0,31.0,31.0,0.0,31.0,3
2022-11-18,FRIO3.SA,31.0,31.0,31.0,31.0,0.0,31.0,4
2022-11-21,FRIO3.SA,31.0,31.0,31.0,31.0,0.0,31.0,0
2022-11-22,FRIO3.SA,31.0,31.0,31.0,31.0,0.0,31.0,1
2022-11-23,FRIO3.SA,31.0,31.0,31.0,31.0,0.0,31.0,2
2022-11-24,FRIO3.SA,31.0,31.0,31.0,31.0,0.0,31.0,3
2022-11-25,FRIO3.SA,31.0,31.0,31.0,31.0,0.0,31.0,4
2022-11-28,FRIO3.SA,31.0,31.0,31.0,31.0,0.0,31.0,0
2022-11-29,FRIO3.SA,31.0,31.0,31.0,31.0,0.0,31.0,1
2022-11-30,FRIO3.SA,31.0,31.0,31.0,31.0,0.0,31.0,2
2022-12-01,FRIO3.SA,31.0,31.0,31.0,31.0,0.0,31.0,3
2022-12-02,FRIO3.SA,31.0,31.0,31.0,31.0,0.0,31.0,4
2022-12-05,FRIO3.SA,31.0,31.0,31.0,31.0,0.0,31.0,0
2022-12-06,FRIO3.SA,31.0,31.0,31.0,31.0,0.0,31.0,1
2022-12-07,FRIO3.SA,31.0,31.0,31.0,31.0,0.0,31.0,2
2022-12-08,FRIO3.SA,31.0,31.0,31.0,31.0,0.0,31.0,3
2022-12-09,FRIO3.SA,31.0,31.0,31.0,31.0,0.0,31.0,4
2022-12-12,FRIO3.SA,31.0,31.0,31.0,31.0,0.0,31.0,0
2022-12-13,FRIO3.SA,31.0,31.0,31.0,31.0,0.0,31.0,1
2022-12-14,FRIO3.SA,31.0,31.0,31.0,31.0,0.0,31.0,2
2022-12-15,FRIO3.SA,31.0,31.0,31.0,31.0,0.0,31.0,3
2022-12-16,FRIO3.SA,31.0,31.0,31.0,31.0,0.0,31.0,4
2022-12-19,FRIO3.SA,31.0,31.0,31.0,31.0,0.0,31.0,0
2022-12-20,FRIO3.SA,31.0,31.0,31.0,31.0,0.0,31.0,1
2022-12-21,FRIO3.SA,31.0,31.0,31.0,31.0,0.0,31.0,2
2022-12-22,FRIO3.SA,31.0,31.0,31.0,31.0,0.0,31.0,3
2022-12-23,FRIO3.SA,31.0,31.0,31.0,31.0,0.0,31.0,4
2022-12-26,FRIO3.SA,31.0,31.0,31.0,31.0,0.0,31.0,0
2022-12-27,FRIO3.SA,31.0,31.0,31.0,31.0,0.0,31.0,1
2022-12-28,FRIO3.SA,31.0,31.0,31.0,31.0,0.0,31.0,2
2022-12-29,FRIO3.SA,31.0,31.0,31.0,31.0,0.0,31.0,3
2023-01-02,FRIO3.SA,31.0,31.0,31.0,31.0,0.0,31.0,0
2023-01-03,FRIO3.SA,31.0,31.0,31.0,31.0,0.0,31.0,1
2023-01-04,FRIO3.SA,31.0,31.0,31.0,31.0,0.0,31.0,2
2023-01-05,FRIO3.SA,31.0,31.0,31.0,31.0,0.0,31.0,3
2023-01-06,FRIO3.SA,31.0,31.0,31.0,31.0,0.0,31.0,4
2023-01-09,FRIO3.SA,31.0,31.0,31.0,31.0,0.0,31.0,0
2023-01-10,FRIO3.SA,31.0,31.0,31.0,31.0,0.0,31.0,1
2023-01-11,FRIO3.SA,31.0,31.0,31.0,31.0,0.0,31.0,2
2023-01-12,FRIO3.SA,31.0,31.0,31.0,31.0,0.0,31.0,3
2023-01-13,FRIO3.SA,31.0,31.0,31.0,31.0,0.0,31.0,4
2023-01-16,FRIO3.SA,31.0,31.0,31.0,31.0,0.0,31.0,0
2023-01-17,FRIO3.SA,31.0,31.0,31.0,31.0,0.0,31.0,1
2023-01-18,FRIO3.SA,31.0,31.0,31.0,31.0,0.0,31.0,2
2023-01-19,FRIO3.SA,25.25,25.25,25.25,25.25,100.0,25.25,3
2023-01-20,FRIO3.SA,25.25,25.25,25.25,25.25,0.0,25.25,4
2023-01-23,FRIO3.SA,25.25,25.25,25.25,25.25,0.0,25.25,0
2023-01-24,FRIO3.SA,25.25,25.25,25.25,25.25,0.0,25.25,1
2023-01-25,FRIO3.SA,25.25,25.25,25.25,25.25,0.0,25.25,2
2023-01-26,FRIO3.SA,25.25,25.25,25.25,25.25,0.0,25.25,3
2023-01-27,FRIO3.SA,25.25,25.25,25.25,25.25,0.0,25.25,4
2023-01-30,FRIO3.SA,25.25,25.25,25.25,25.25,0.0,25.25,0
2023-01-31,FRIO3.SA,25.25,25.25,25.25,25.25,0.0,25.25,1
2023-02-01,FRIO3.SA,25.309999465942383,25.309999465942383,25.299999237060547,25.299999237060547,400.0,25.299999237060547,2
2023-02-02,FRIO3.SA,25.299999237060547,25.299999237060547,25.299999237060547,25.299999237060547,0.0,25.299999237060547,3
2023-02-03,FRIO3.SA,25.299999237060547,25.299999237060547,25.299999237060547,25.299999237060547,0.0,25.299999237060547,4
2023-02-06,FRIO3.SA,25.299999237060547,25.299999237060547,25.299999237060547,25.299999237060547,0.0,25.299999237060547,0
2023-02-07,FRIO3.SA,25.299999237060547,25.299999237060547,25.299999237060547,25.299999237060547,0.0,25.299999237060547,1
